,location,size,total_sqft,bath,price,bhk,price_per_sqft
1104,Bellandur,2 BHK,921.0,2.0,40.0,2,4343.105320304017
1106,Bellandur,3 BHK,1490.0,2.0,98.0,3,6577.181208053691
1108,Bellandur,3 BHK,2039.0,3.0,168.0,3,8239.333006375675
1109,Bellandur,3 BHK,1605.0,3.0,85.0,3,5295.95015576324
1110,Bellandur,3 BHK,1692.0,3.0,88.0,3,5200.945626477542
1111,Bellandur,2 BHK,1220.0,2.0,60.0,2,4918.0327868852455
1112,Bellandur,2 BHK,1299.0,2.0,82.0,2,6312.548113933795
1113,Bellandur,2 BHK,900.0,2.0,56.0,2,6222.222222222223
1114,Bellandur,2 BHK,1350.0,2.0,79.0,2,5851.851851851852
1115,Bellandur,2 BHK,1286.0,2.0,57.0,2,4432.348367029549
1116,Bellandur,4 BHK,3016.0,4.0,230.0,4,7625.994694960213
1117,Bellandur,2 BHK,1457.0,2.0,85.0,2,5833.905284831846
1118,Bellandur,2 BHK,1195.0,2.0,51.0,2,4267.782426778243
1119,Bellandur,2 BHK,1050.0,2.0,72.0,2,6857.142857142857
1120,Bellandur,4 Bedroom,3600.0,4.0,260.0,4,7222.222222222223
1121,Bellandur,2 BHK,1310.0,2.0,72.0,2,5496.18320610687
1122,Bellandur,2 BHK,924.0,2.0,35.11,2,3799.78354978355
1123,Bellandur,3 BHK,1785.0,3.0,118.0,3,6610.644257703081
1124,Bellandur,2 BHK,1051.0,2.0,60.0,2,5708.848715509039
1126,Bellandur,2 BHK,1060.0,2.0,65.0,2,6132.075471698113
1127,Bellandur,2 BHK,1100.0,2.0,62.0,2,5636.363636363636
1128,Bellandur,2 BHK,1550.0,2.0,59.0,2,3806.451612903226
1129,Bellandur,2 BHK,924.0,2.0,35.11,2,3799.78354978355
1131,Bellandur,3 BHK,1685.0,3.0,100.0,3,5934.718100890208
1132,Bellandur,2 BHK,982.0,2.0,55.0,2,5600.814663951121
1133,Bellandur,2 BHK,981.0,2.0,37.28,2,3800.2038735983692
1134,Bellandur,2 BHK,1205.0,2.0,59.0,2,4896.265560165975
1135,Bellandur,2 BHK,1063.0,2.0,58.0,2,5456.255879586077
1136,Bellandur,2 BHK,1201.0,2.0,59.99,2,4995.004163197335
1137,Bellandur,2 BHK,1325.0,2.0,65.0,2,4905.66037735849
1138,Bellandur,2 BHK,1281.0,2.0,87.0,2,6791.569086651054
1140,Bellandur,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
1141,Bellandur,3 BHK,1785.0,3.0,120.0,3,6722.689075630252
1142,Bellandur,2 BHK,1088.0,2.0,48.0,2,4411.764705882353
1143,Bellandur,2 BHK,1310.0,2.0,85.0,2,6488.5496183206105
1144,Bellandur,2 BHK,982.0,2.0,37.28,2,3796.3340122199593
1145,Bellandur,2 BHK,1465.0,3.0,90.0,2,6143.344709897611
1146,Bellandur,3 BHK,1767.0,3.0,109.0,3,6168.647425014148
1147,Bellandur,2 BHK,924.0,2.0,35.11,2,3799.78354978355
1148,Bellandur,4 Bedroom,3600.0,4.0,245.0,4,6805.555555555556
1149,Bellandur,2 BHK,1170.0,2.0,46.79,2,3999.1452991452993
1150,Bellandur,2 BHK,1150.0,2.0,69.44,2,6038.260869565217
1151,Bellandur,2 BHK,1200.0,2.0,45.0,2,3750.0
1153,Bellandur,2 BHK,1410.0,3.0,92.0,2,6524.822695035461
1154,Bellandur,2 BHK,950.0,2.0,35.0,2,3684.2105263157896
1155,Bellandur,2 BHK,1015.0,2.0,60.0,2,5911.330049261083
1157,Bellandur,3 BHK,1685.0,3.0,101.0,3,5994.06528189911
1158,Bellandur,3 BHK,1735.0,3.0,105.0,3,6051.873198847262
1159,Bellandur,3 BHK,1685.0,3.0,115.0,3,6824.925816023739
1160,Bellandur,3 BHK,1846.0,3.0,135.0,3,7313.109425785482
1161,Bellandur,2 BHK,1049.0,2.0,51.0,2,4861.773117254528
1163,Bellandur,2 BHK,1211.0,2.0,63.0,2,5202.312138728324
1164,Bellandur,3 BHK,1717.0,3.0,110.0,3,6406.523005241701
1166,Bellandur,2 BHK,1185.0,2.0,47.39,2,3999.15611814346
1167,Bellandur,2 BHK,1200.0,2.0,62.0,2,5166.666666666667
1171,Bellandur,2 BHK,1251.0,2.0,47.0,2,3756.994404476419
1173,Bellandur,2 BHK,960.0,2.0,48.0,2,5000.0
1174,Bellandur,3 BHK,1690.0,2.0,116.0,3,6863.905325443787
1175,Bellandur,1 BHK,950.0,1.0,40.0,1,4210.526315789473
1176,Bellandur,2 BHK,850.0,2.0,45.0,2,5294.117647058823
1177,Bellandur,2 BHK,1454.0,2.0,90.0,2,6189.821182943604
1179,Bellandur,2 BHK,1195.0,2.0,52.0,2,4351.464435146443
1180,Bellandur,3 BHK,1435.0,2.0,115.0,3,8013.937282229966
1182,Bellandur,2 BHK,1260.0,2.0,83.5,2,6626.984126984127
1183,Bellandur,3 BHK,1535.0,3.0,90.0,3,5863.192182410424
1184,Bellandur,2 BHK,1047.0,2.0,75.0,2,7163.323782234957
1185,Bellandur,2 BHK,1096.0,2.0,40.0,2,3649.6350364963505
1186,Bellandur,2 BHK,1262.0,2.0,47.0,2,3724.247226624406
1187,Benson Town,3 BHK,3200.0,4.0,350.0,3,10937.5
1188,Benson Town,4 BHK,4460.0,5.0,650.0,4,14573.991031390135
1189,Benson Town,3 BHK,2850.0,4.0,470.0,3,16491.22807017544
1190,Benson Town,2 BHK,1300.0,2.0,120.0,2,9230.76923076923
1191,Benson Town,2 BHK,1567.0,3.0,140.0,2,8934.269304403319
1193,Benson Town,2 Bedroom,1688.12,2.0,270.0,2,15994.123640499492
1194,Benson Town,3 BHK,1805.0,3.0,280.0,3,15512.465373961219
1195,Benson Town,2 Bedroom,1688.0,2.0,280.0,2,16587.677725118483
1196,Bharathi Nagar,2 BHK,1322.0,2.0,68.0,2,5143.721633888048
1197,Bharathi Nagar,2 BHK,1351.0,2.0,70.0,2,5181.347150259067
1198,Bharathi Nagar,2 BHK,1384.0,2.0,59.0,2,4263.005780346821
1199,Bharathi Nagar,2 BHK,1351.0,2.0,74.0,2,5477.424130273871
1200,Bharathi Nagar,2 BHK,1432.0,2.0,68.0,2,4748.6033519553075
1202,Bharathi Nagar,2 BHK,1349.0,2.0,56.7,2,4203.113417346182
1203,Bharathi Nagar,2 BHK,1328.0,2.0,69.0,2,5195.78313253012
1204,Bharathi Nagar,2 BHK,1300.0,2.0,55.86,2,4296.923076923077
1205,Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928.143712574851
1208,Bhoganhalli,2 BHK,1444.0,2.0,75.97,2,5261.0803324099725
1209,Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
1210,Bhoganhalli,3 BHK,1700.0,3.0,126.0,3,7411.764705882353
1211,Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
1215,Bhoganhalli,3 BHK,1760.0,3.0,127.0,3,7215.909090909091
1217,Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
1218,Bhoganhalli,3 BHK,1949.0,3.0,129.0,3,6618.778860954336
1219,Bhoganhalli,3 BHK,1760.0,3.0,128.0,3,7272.727272727273
1220,Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
1221,Bhoganhalli,4 BHK,2439.0,4.0,185.0,4,7585.075850758508
1225,Bhoganhalli,2 BHK,1444.0,2.0,75.97,2,5261.0803324099725
1226,Bhoganhalli,2 BHK,1205.0,2.0,64.47,2,5350.207468879668
1227,Bhoganhalli,2 BHK,1447.0,2.0,75.97,2,5250.172771250864
1228,Bhoganhalli,4 BHK,2439.0,5.0,170.0,4,6970.069700697007
1230,Bhoganhalli,2 BHK,1205.0,2.0,68.32,2,5669.709543568464
1231,Bhoganhalli,2 BHK,1260.0,2.0,69.9,2,5547.619047619049
1232,Bhoganhalli,4 BHK,2439.0,4.0,170.0,4,6970.069700697007
1233,Bhoganhalli,3 BHK,1707.0,3.0,115.0,3,6736.965436438196
1235,Bhoganhalli,2 BHK,970.0,2.0,52.5,2,5412.371134020618
1237,Bhoganhalli,2 BHK,1277.0,2.0,79.89,2,6256.068911511355
1239,Bhoganhalli,3 BHK,1703.0,3.0,120.0,3,7046.388725778039
1241,Billekahalli,2 BHK,1125.0,2.0,62.0,2,5511.111111111111
1243,Billekahalli,2 BHK,1090.0,2.0,52.0,2,4770.642201834862
1244,Billekahalli,2 BHK,1112.0,2.0,62.0,2,5575.5395683453235
1245,Billekahalli,3 Bedroom,2400.0,3.0,150.0,3,6250.0
1246,Billekahalli,3 BHK,2968.0,3.0,225.0,3,7580.8625336927225
1247,Billekahalli,2 BHK,950.0,2.0,58.11,2,6116.8421052631575
1248,Billekahalli,2 BHK,1360.0,2.0,110.0,2,8088.235294117647
1249,Billekahalli,2 BHK,1125.0,2.0,65.0,2,5777.777777777777
1250,Billekahalli,2 BHK,950.0,2.0,56.0,2,5894.736842105263
1252,Billekahalli,3 BHK,1805.0,3.0,134.0,3,7423.822714681441
1253,Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951.5669515669515
1254,Binny Pete,1 BHK,665.0,1.0,50.75,1,7631.578947368421
1256,Binny Pete,1 BHK,660.0,1.0,54.0,1,8181.818181818182
1257,Binny Pete,1 BHK,660.0,1.0,62.0,1,9393.939393939394
1258,Binny Pete,2 BHK,1365.0,2.0,122.0,2,8937.728937728938
1260,Binny Pete,3 BHK,1795.0,3.0,139.0,3,7743.732590529248
1261,Binny Pete,3 BHK,1740.0,3.0,150.0,3,8620.689655172413
1262,Binny Pete,3 BHK,1970.0,3.0,164.0,3,8324.873096446701
1263,Binny Pete,3 BHK,1516.0,3.0,147.0,3,9696.569920844327
1264,Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,4067.7966101694915
1266,Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3,4279.069767441861
1269,Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3,4186.046511627907
1271,Bisuvanahalli,2 BHK,845.0,2.0,33.0,2,3905.3254437869823
1272,Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3,4186.046511627907
1273,Bisuvanahalli,2 BHK,845.0,2.0,37.0,2,4378.698224852071
1276,Bisuvanahalli,2 BHK,845.0,2.0,29.0,2,3431.9526627218934
1277,Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,4372.093023255814
1278,Bisuvanahalli,2 BHK,850.0,1.0,32.0,2,3764.705882352941
1279,Bisuvanahalli,3 BHK,1075.0,2.0,50.0,3,4651.162790697675
1280,Bisuvanahalli,3 BHK,1075.0,2.0,52.0,3,4837.209302325581
1281,Bisuvanahalli,3 BHK,1180.0,2.0,46.0,3,3898.3050847457625
1282,Bisuvanahalli,3 BHK,1075.0,2.0,42.0,3,3906.9767441860463
1283,Bisuvanahalli,2 BHK,845.0,2.0,37.0,2,4378.698224852071
1284,Bisuvanahalli,3 BHK,1075.0,2.0,43.0,3,4000.0
1285,Bisuvanahalli,2 BHK,700.0,1.0,32.0,2,4571.428571428572
1286,Bisuvanahalli,3 BHK,1075.0,2.0,52.0,3,4837.209302325581
1287,Bisuvanahalli,3 BHK,1075.0,2.0,50.0,3,4651.162790697675
1289,Bisuvanahalli,2 BHK,845.0,2.0,33.0,2,3905.3254437869823
1290,Bisuvanahalli,2 BHK,945.0,2.0,33.0,2,3492.063492063492
1291,Bisuvanahalli,2 BHK,845.0,2.0,30.0,2,3550.2958579881656
1294,Bisuvanahalli,3 BHK,1075.0,2.0,43.0,3,4000.0
1295,Bisuvanahalli,3 BHK,1080.0,2.0,45.0,3,4166.666666666667
1296,Bisuvanahalli,3 BHK,1180.0,2.0,55.5,3,4703.389830508475
1297,Bisuvanahalli,3 BHK,1075.0,2.0,47.0,3,4372.093023255814
1298,Bisuvanahalli,3 BHK,1075.0,2.0,48.0,3,4465.116279069767
1300,Bisuvanahalli,3 BHK,1075.0,2.0,45.0,3,4186.046511627907
1301,Bisuvanahalli,3 BHK,1075.0,2.0,44.0,3,4093.0232558139537
1302,Bisuvanahalli,2 BHK,850.0,2.0,27.0,2,3176.470588235294
1303,Bisuvanahalli,3 BHK,1075.0,2.0,42.0,3,3906.9767441860463
1304,Bisuvanahalli,2 BHK,845.0,2.0,32.0,2,3786.98224852071
1306,Bisuvanahalli,2 BHK,845.0,2.0,34.0,2,4023.6686390532545
1307,Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,4666.666666666667
1308,Bommanahalli,1 BHK,520.0,1.0,19.5,1,3750.0
1309,Bommanahalli,1 BHK,515.0,1.0,25.0,1,4854.368932038835
1310,Bommanahalli,2 BHK,1090.0,3.0,44.0,2,4036.697247706422
1313,Bommanahalli,3 BHK,1850.0,3.0,90.0,3,4864.864864864865
1314,Bommanahalli,2 BHK,910.0,2.0,45.0,2,4945.054945054945
1315,Bommanahalli,2 BHK,1050.0,2.0,46.0,2,4380.952380952381
1316,Bommanahalli,2 BHK,1100.0,1.0,55.0,2,5000.0
1318,Bommanahalli,4 BHK,2100.0,4.0,85.0,4,4047.6190476190477
1319,Bommanahalli,2 BHK,1307.0,2.0,50.0,2,3825.554705432288
1320,Bommanahalli,2 BHK,1091.0,2.0,40.0,2,3666.3611365719526
1321,Bommanahalli,2 BHK,1160.0,2.0,53.0,2,4568.9655172413795
1322,Bommanahalli,2 BHK,1050.0,2.0,54.0,2,5142.857142857143
1323,Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917.4603174603176
1324,Bommasandra,3 BHK,1200.0,3.0,46.0,3,3833.3333333333335
1325,Bommasandra,2 BHK,1035.0,2.0,41.0,2,3961.352657004831
1326,Bommasandra,2 BHK,1035.0,2.0,41.73,2,4031.884057971014
1327,Bommasandra,2 BHK,1034.0,2.0,40.0,2,3868.4719535783365
1328,Bommasandra,2 BHK,877.0,2.0,30.0,2,3420.752565564424
1329,Bommasandra,2 BHK,920.0,2.0,37.46,2,4071.7391304347825
1330,Bommasandra,2 BHK,1035.0,2.0,41.43,2,4002.8985507246375
1331,Bommasandra,3 BHK,1295.0,2.0,50.28,3,3882.6254826254826
1333,Bommasandra,2 BHK,1015.0,2.0,40.0,2,3940.886699507389
1334,Bommasandra,2 BHK,1000.0,2.0,35.0,2,3500.0
1335,Bommasandra,2 BHK,955.0,2.0,35.28,2,3694.240837696335
1336,Bommasandra,2 BHK,1005.0,2.0,39.77,2,3957.213930348259
1337,Bommasandra,2 BHK,1014.0,2.0,35.0,2,3451.6765285996057
1338,Bommasandra,2 BHK,1020.0,2.0,40.89,2,4008.823529411765
1339,Bommasandra,2 BHK,920.0,2.0,37.2,2,4043.478260869566
1340,Bommasandra,2 BHK,800.0,1.0,32.0,2,4000.0
1341,Bommasandra,3 BHK,1280.0,3.0,50.0,3,3906.25
1342,Bommasandra,3 Bedroom,1942.0,3.0,90.0,3,4634.3975283213185
1343,Bommasandra,2 BHK,1127.0,2.0,45.0,2,3992.9015084294588
1345,Bommasandra,2 BHK,877.0,2.0,29.0,2,3306.72748004561
1346,Bommasandra,3 BHK,1365.0,3.0,52.81,3,3868.864468864469
1347,Bommasandra,2 BHK,842.0,2.0,30.0,2,3562.9453681710215
1348,Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917.4603174603176
1349,Bommasandra,3 BHK,1365.0,3.0,52.82,3,3869.5970695970695
1350,Bommasandra,2 BHK,955.0,2.0,37.97,2,3975.916230366492
1351,Bommasandra,2 BHK,1089.0,2.0,40.0,2,3673.094582185491
1352,Bommasandra,3 BHK,1365.0,3.0,53.96,3,3953.1135531135533
1353,Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2,2888.0733944954127
1355,Bommasandra Industrial Area,3 BHK,1400.0,2.0,40.44,3,2888.5714285714284
1356,Bommasandra Industrial Area,3 BHK,1320.0,2.0,38.13,3,2888.636363636364
1358,Bommasandra Industrial Area,2 BHK,1020.0,2.0,29.45,2,2887.2549019607845
1359,Bommasandra Industrial Area,2 BHK,1165.0,2.0,33.64,2,2887.5536480686696
1360,Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2,2888.0733944954127
1362,Bommasandra Industrial Area,2 BHK,1000.0,2.0,28.88,2,2888.0
1363,Bommasandra Industrial Area,2 BHK,1020.0,2.0,29.45,2,2887.2549019607845
1364,Bommasandra Industrial Area,2 BHK,1160.0,2.0,33.51,2,2888.793103448276
1365,Bommasandra Industrial Area,2 BHK,1125.0,2.0,32.49,2,2888.0
1368,Bommasandra Industrial Area,2 BHK,1125.0,2.0,32.49,2,2888.0
1369,Bommasandra Industrial Area,2 BHK,1130.0,2.0,32.64,2,2888.495575221239
1370,Bommasandra Industrial Area,2 BHK,1065.0,2.0,30.75,2,2887.323943661972
1371,Bommenahalli,3 Bedroom,1200.0,3.0,125.0,3,10416.666666666666
1372,Bommenahalli,4 Bedroom,1632.0,3.0,145.0,4,8884.803921568628
1373,Bommenahalli,4 Bedroom,1670.0,3.0,135.0,4,8083.832335329342
1374,Bommenahalli,4 Bedroom,1680.0,3.0,135.0,4,8035.714285714285
1375,Bommenahalli,4 Bedroom,1632.0,3.0,128.0,4,7843.137254901961
1376,Bommenahalli,3 Bedroom,3339.0,3.0,250.0,3,7487.271638215035
1377,Bommenahalli,4 Bedroom,1355.0,3.0,135.0,4,9963.09963099631
1378,Bommenahalli,3 Bedroom,1232.0,3.0,96.0,3,7792.207792207792
1379,Bommenahalli,4 Bedroom,1632.0,3.0,140.0,4,8578.43137254902
1380,Brookefield,2 BHK,1150.0,2.0,69.0,2,6000.0
1381,Brookefield,2 BHK,1142.0,2.0,70.0,2,6129.5971978984235
1385,Brookefield,4 Bedroom,2800.0,4.0,240.0,4,8571.42857142857
1386,Brookefield,3 BHK,1476.0,3.0,105.0,3,7113.821138211382
1387,Brookefield,4 Bedroom,1700.0,4.0,152.0,4,8941.176470588236
1388,Brookefield,2 BHK,1262.0,2.0,75.0,2,5942.947702060222
1389,Brookefield,2 BHK,1139.0,2.0,80.0,2,7023.705004389815
1390,Brookefield,2 BHK,1125.0,2.0,70.0,2,6222.222222222223
1391,Brookefield,3 BHK,1420.0,3.0,85.0,3,5985.915492957746
1393,Brookefield,2 BHK,941.0,2.0,48.0,2,5100.956429330499
1396,Brookefield,2 BHK,1100.0,2.0,55.0,2,5000.0
1397,Brookefield,4 BHK,2400.0,3.0,140.0,4,5833.333333333333
1398,Brookefield,2 BHK,1225.0,2.0,66.5,2,5428.571428571428
1399,Brookefield,5 Bedroom,1950.0,6.0,175.0,5,8974.358974358975
1400,Brookefield,2 BHK,1080.0,2.0,50.0,2,4629.62962962963
1401,Brookefield,2 BHK,1230.0,2.0,55.0,2,4471.544715447155
1402,Brookefield,2 BHK,1200.0,2.0,75.0,2,6250.0
1403,Brookefield,2 BHK,1089.0,2.0,49.0,2,4499.540863177227
1404,Brookefield,2 BHK,1130.0,2.0,56.0,2,4955.7522123893805
1405,Brookefield,2 BHK,1270.0,2.0,95.0,2,7480.314960629921
1406,Brookefield,3 BHK,1706.0,3.0,115.0,3,6740.914419695194
1407,Brookefield,2 BHK,1389.0,2.0,94.0,2,6767.458603311735
1409,Brookefield,2 BHK,1225.0,2.0,72.0,2,5877.551020408163
1411,Brookefield,3 BHK,1746.0,3.0,115.0,3,6586.483390607102
1413,Brookefield,4 Bedroom,1560.0,3.0,149.0,4,9551.28205128205
1415,Brookefield,2 BHK,1382.0,2.0,84.5,2,6114.3270622286545
1416,Brookefield,2 BHK,1260.0,2.0,70.0,2,5555.555555555556
1417,Brookefield,2 BHK,1206.0,2.0,90.0,2,7462.686567164179
1419,Brookefield,3 BHK,1594.0,3.0,140.0,3,8782.936010037642
1420,Budigere,2 BHK,1153.0,2.0,56.4,2,4891.587163920208
1421,Budigere,2 BHK,1162.0,2.0,59.9,2,5154.9053356282275
1422,Budigere,3 BHK,1991.0,4.0,103.0,3,5173.279758915118
1423,Budigere,2 BHK,1153.0,2.0,57.0,2,4943.625325238509
1424,Budigere,2 BHK,1162.0,2.0,57.0,2,4905.335628227194
1425,Budigere,2 BHK,1139.0,2.0,62.0,2,5443.371378402107
1426,Budigere,2 BHK,1139.0,2.0,56.8,2,4986.830553116769
1427,Budigere,2 BHK,1139.0,2.0,56.85,2,4991.220368744513
1430,Budigere,1 BHK,664.0,1.0,35.0,1,5271.084337349397
1431,Budigere,3 BHK,1820.0,3.0,93.0,3,5109.89010989011
1432,Budigere,3 BHK,1636.0,3.0,85.0,3,5195.59902200489
1433,Budigere,2 BHK,1444.0,2.0,70.0,2,4847.645429362881
1435,Budigere,2 BHK,1139.0,2.0,60.0,2,5267.778753292362
1437,Budigere,3 BHK,1820.0,3.0,93.0,3,5109.89010989011
1439,Budigere,2 BHK,1162.0,2.0,58.0,2,4991.394148020654
1440,Budigere,3 BHK,1636.0,3.0,85.0,3,5195.59902200489
1441,Budigere,3 BHK,1636.0,3.0,92.0,3,5623.471882640587
1442,Budigere,2 BHK,1087.0,2.0,54.3,2,4995.40018399264
1444,Budigere,2 BHK,1149.0,2.0,65.0,2,5657.093124456049
1445,Budigere,1 BHK,664.0,1.0,35.4,1,5331.325301204819
1446,Budigere,2 BHK,1153.0,2.0,56.7,2,4917.606244579359
1448,Budigere,2 BHK,1139.0,2.0,56.5,2,4960.491659350308
1449,Budigere,3 BHK,1636.0,3.0,83.0,3,5073.349633251833
1450,Budigere,1 BHK,664.0,1.0,34.0,1,5120.481927710844
1452,Budigere,2 BHK,1162.0,2.0,58.0,2,4991.394148020654
1453,Budigere,2 BHK,1153.0,2.0,60.0,2,5203.816131830009
1454,Budigere,3 BHK,1820.0,3.0,99.0,3,5439.56043956044
1455,Budigere,2 BHK,1172.0,2.0,56.725,2,4840.017064846416
1458,Budigere,3 BHK,1820.0,3.0,95.0,3,5219.780219780219
1460,Budigere,3 BHK,1820.0,3.0,95.5,3,5247.252747252747
1461,Budigere,2 BHK,1153.0,2.0,56.0,2,4856.895056374675
1462,Budigere,1 BHK,705.0,1.0,34.545,1,4900.0
1463,Budigere,2 BHK,1153.0,2.0,56.5,2,4900.260190806592
1464,Budigere,2 BHK,1153.0,2.0,58.0,2,5030.3555941023415
1465,Budigere,3 BHK,1636.0,3.0,88.0,3,5378.973105134474
1466,Budigere,2 BHK,1153.0,2.0,56.55,2,4904.596704249783
1467,Budigere,2 BHK,1153.0,2.0,56.5,2,4900.260190806592
1468,Budigere,2 BHK,1153.0,2.0,60.0,2,5203.816131830009
1470,CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2,4910.714285714285
1471,CV Raman Nagar,2 BHK,1070.0,2.0,55.0,2,5140.186915887851
1472,CV Raman Nagar,2 BHK,740.0,2.0,37.0,2,5000.0
1473,CV Raman Nagar,2 BHK,1028.0,2.0,49.0,2,4766.536964980544
1474,CV Raman Nagar,2 BHK,1392.0,2.0,98.0,2,7040.229885057472
1475,CV Raman Nagar,2 BHK,1070.0,2.0,47.5,2,4439.252336448598
1476,CV Raman Nagar,3 BHK,1825.0,3.0,126.0,3,6904.109589041096
1477,CV Raman Nagar,2 BHK,1025.0,2.0,50.0,2,4878.048780487805
1479,CV Raman Nagar,2 BHK,1198.0,2.0,60.0,2,5008.347245409015
1480,CV Raman Nagar,2 BHK,1560.0,2.0,85.0,2,5448.717948717948
1481,CV Raman Nagar,3 BHK,1590.0,2.0,85.0,3,5345.911949685535
1482,CV Raman Nagar,2 BHK,1100.0,2.0,58.0,2,5272.727272727273
1483,CV Raman Nagar,2 BHK,1051.0,2.0,61.0,2,5803.996194100856
1485,CV Raman Nagar,2 BHK,1020.0,2.0,55.0,2,5392.156862745098
1486,CV Raman Nagar,2 BHK,1285.0,2.0,65.0,2,5058.365758754864
1487,CV Raman Nagar,2 BHK,1040.0,2.0,50.0,2,4807.692307692308
1488,CV Raman Nagar,2 BHK,1392.0,2.0,95.0,2,6824.712643678161
1489,CV Raman Nagar,1 BHK,705.0,2.0,50.0,1,7092.198581560284
1490,CV Raman Nagar,2 BHK,1125.0,2.0,46.0,2,4088.8888888888887
1491,CV Raman Nagar,3 BHK,1400.0,2.0,78.0,3,5571.428571428572
1492,CV Raman Nagar,3 BHK,1400.0,2.0,78.0,3,5571.428571428572
1493,CV Raman Nagar,2 BHK,907.0,2.0,38.0,2,4189.636163175303
1495,CV Raman Nagar,2 BHK,1310.0,2.0,62.0,2,4732.824427480916
1496,Chamrajpet,3 BHK,1475.0,2.0,120.0,3,8135.593220338983
1497,Chamrajpet,4 BHK,1900.0,2.0,170.0,4,8947.368421052632
1498,Chamrajpet,2 BHK,1350.0,2.0,180.0,2,13333.333333333334
1499,Chamrajpet,2 Bedroom,1050.0,2.0,162.0,2,15428.57142857143
1500,Chamrajpet,4 Bedroom,1660.4,4.0,211.0,4,12707.781257528306
1501,Chamrajpet,1 BHK,505.0,1.0,85.0,1,16831.68316831683
1502,Chamrajpet,3 BHK,1565.0,3.0,98.91,3,6320.127795527156
1503,Chamrajpet,2 BHK,730.0,1.0,52.0,2,7123.287671232877
1504,Chamrajpet,2 BHK,650.0,1.0,40.0,2,6153.846153846154
1505,Chamrajpet,2 BHK,650.0,2.0,45.0,2,6923.076923076923
1506,Chamrajpet,3 BHK,1650.0,3.0,115.0,3,6969.69696969697
1507,Chandapura,2 BHK,650.0,1.0,17.0,2,2615.3846153846152
1508,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1509,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1511,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
1512,Chandapura,1 BHK,530.0,1.0,11.66,1,2200.0
1513,Chandapura,3 BHK,1208.0,3.0,45.0,3,3725.1655629139073
1515,Chandapura,2 BHK,1200.0,2.0,32.0,2,2666.6666666666665
1516,Chandapura,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
1517,Chandapura,1 BHK,582.5,1.0,15.135,1,2598.283261802575
1518,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
1520,Chandapura,3 BHK,1065.0,2.0,33.0,3,3098.5915492957747
1523,Chandapura,2 BHK,850.0,2.0,25.4,2,2988.235294117647
1524,Chandapura,1 BHK,590.0,1.0,13.57,1,2300.0
1525,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1526,Chandapura,1 BHK,630.0,1.0,13.86,1,2200.0
1528,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
1529,Chandapura,3 BHK,1107.0,2.0,43.0,3,3884.3721770551037
1530,Chandapura,1 BHK,520.0,1.0,14.04,1,2700.0
1531,Chandapura,2 Bedroom,1200.0,1.0,36.0,2,3000.0
1532,Chandapura,2 BHK,975.0,2.0,24.86,2,2549.74358974359
1533,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1534,Chandapura,2 BHK,985.0,2.0,25.12,2,2550.253807106599
1535,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1536,Chandapura,2 BHK,975.0,2.0,24.86,2,2549.74358974359
1537,Chandapura,2 BHK,700.0,1.0,19.0,2,2714.285714285714
1539,Chandapura,3 BHK,1095.0,2.0,32.0,3,2922.3744292237443
1540,Chandapura,3 BHK,1208.51,3.0,42.0,3,3475.3539482503247
1541,Chandapura,2 BHK,876.0,2.0,29.5,2,3367.5799086757993
1542,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1544,Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
1545,Chandapura,2 BHK,937.0,2.0,30.0,2,3201.7075773745996
1546,Chandapura,2 BHK,1025.0,2.0,27.68,2,2700.487804878049
1547,Chandapura,2 BHK,975.0,2.0,24.86,2,2549.74358974359
1548,Chandapura,2 BHK,800.0,2.0,25.0,2,3125.0
